metric,baseline_univariate_tree,bivariate_tree
train_accuracy,1.0,0.9904761904761905
test_accuracy,0.9333333333333333,0.9555555555555556
precision,0.9444444444444445,0.9555555555555556
recall,0.9333333333333332,0.9555555555555556
f1,0.9326599326599326,0.9555555555555556
training_time_seconds,0.0025739669799804688,0.5684430599212646
depth,5.0,3.0
num_nodes,15.0,7.0
num_leaves,8.0,4.0
